Protein A	Protein B	Rank
BCL2_HUMAN	PRIO_HUMAN	5-star
BCL2_HUMAN	ASPP2_HUMAN	5-star
BCL2_HUMAN	PSN1_HUMAN	5-star
BCL2_HUMAN	RTN4_HUMAN	5-star
BCL2_HUMAN	CYC_HUMAN	5-star
BCL2_HUMAN	APAF_HUMAN	5-star
BCL2_HUMAN	B2L14_HUMAN	5-star
BCL2_HUMAN	PP1G_HUMAN	5-star
BCL2_HUMAN	BNI3L_HUMAN	5-star
BCL2_HUMAN	VRK2_HUMAN	5-star
BCL2_HUMAN	PML_HUMAN	5-star
BCL2_HUMAN	CASP9_HUMAN	5-star
BCL2_HUMAN	PAXI_HUMAN	5-star
BCL2_HUMAN	HS90A_HUMAN	5-star
BCL2_HUMAN	CREB1_HUMAN	5-star
BCL2_HUMAN	DYL1_HUMAN	5-star
BCL2_HUMAN	IRS2_HUMAN	5-star
BCL2_HUMAN	AVEN_HUMAN	5-star
BCL2_HUMAN	SPB8_HUMAN	5-star
BCL2_HUMAN	CISD2_HUMAN	5-star
BCL2_HUMAN	CRYAB_HUMAN	5-star
BCL2_HUMAN	CUL3_HUMAN	5-star
BCL2_HUMAN	RBX1_HUMAN	5-star
BCL2_HUMAN	BNIP2_HUMAN	5-star
BCL2_HUMAN	RXRA_HUMAN	5-star
BCL2_HUMAN	BAP31_HUMAN	5-star
BCL2_HUMAN	RXRG_HUMAN	5-star
BCL2_HUMAN	MTOR_HUMAN	5-star
BCL2_HUMAN	MK08_HUMAN	5-star
BCL2_HUMAN	IL7_HUMAN	5-star
BCL2_HUMAN	BCN1_HUMAN	5-star
BCL2_HUMAN	MCL1_HUMAN	5-star
BCL2_HUMAN	CBP_HUMAN	5-star
BCL2_HUMAN	BI1_HUMAN	5-star
BCL2_HUMAN	BLK_HUMAN	5-star
BCL2_HUMAN	PARP1_HUMAN	5-star
BCL2_HUMAN	PP2AA_HUMAN	5-star
BCL2_HUMAN	PP2BA_HUMAN	5-star
BCL2_HUMAN	SODC_HUMAN	5-star
BCL2_HUMAN	MAX_HUMAN	5-star
BCL2_HUMAN	RRAS_HUMAN	5-star
BCL2_HUMAN	B2L10_HUMAN	5-star
BCL2_HUMAN	MK11_HUMAN	5-star
BCL2_HUMAN	KPCA_HUMAN	5-star
BCL2_HUMAN	AKT1_HUMAN	5-star
BCL2_HUMAN	BRCA1_HUMAN	5-star
BCL2_HUMAN	RASN_HUMAN	5-star
BCL2_HUMAN	IKZF3_HUMAN	5-star
BCL2_HUMAN	ZBT17_HUMAN	5-star
BCL2_HUMAN	ATG12_HUMAN	5-star
BCL2_HUMAN	RASH_HUMAN	5-star
BCL2_HUMAN	ITM2B_HUMAN	5-star
BCL2_HUMAN	VEGFA_HUMAN	5-star
BCL2_HUMAN	MK14_HUMAN	5-star
BCL2_HUMAN	TOM20_HUMAN	5-star
BCL2_HUMAN	NR4A1_HUMAN	5-star
BCL2_HUMAN	MK01_HUMAN	5-star
BCL2_HUMAN	PIN1_HUMAN	5-star
BCL2_HUMAN	RASK_HUMAN	5-star
BCL2_HUMAN	CDK2_HUMAN	5-star
BCL2_HUMAN	AT2A2_HUMAN	5-star
BCL2_HUMAN	IL7RA_HUMAN	5-star
BCL2_HUMAN	FKBP8_HUMAN	5-star
BCL2_HUMAN	2A5A_HUMAN	5-star
BCL2_HUMAN	BLID_HUMAN	5-star
BCL2_HUMAN	IKKA_HUMAN	5-star
BCL2_HUMAN	IKKB_HUMAN	5-star
BCL2_HUMAN	NEMO_HUMAN	5-star
BCL2_HUMAN	SQSTM_HUMAN	5-star
BCL2_HUMAN	MYC_HUMAN	5-star
BCL2_HUMAN	STAT1_HUMAN	5-star
BCL2_HUMAN	MK03_HUMAN	5-star
BCL2_HUMAN	SF01_HUMAN	5-star
BCL2_HUMAN	GATA4_HUMAN	5-star
BCL2_HUMAN	ITPR1_HUMAN	5-star
BCL2_HUMAN	NAF1_HUMAN	5-star
BCL2_HUMAN	PP2BC_HUMAN	5-star
BCL2_HUMAN	HSP71_HUMAN	5-star
BCL2_HUMAN	BNIP1_HUMAN	5-star
BCL2_HUMAN	IL2RG_HUMAN	5-star
BCL2_HUMAN	TNFA_HUMAN	5-star
BCL2_HUMAN	JAK3_HUMAN	5-star
BCL2_HUMAN	CANB1_HUMAN	5-star
BCL2_HUMAN	B2CL2_HUMAN	5-star
BCL2_HUMAN	1433B_HUMAN	5-star
BCLX_HUMAN	APAF_HUMAN	5-star
BCLX_HUMAN	BAD_HUMAN	5-star
BCLX_HUMAN	HRK_HUMAN	5-star
BCLX_HUMAN	BAXA_HUMAN	5-star
BCLX_HUMAN	BIK_HUMAN	5-star
BCLX_HUMAN	BIM_HUMAN	5-star
BCLX_HUMAN	CASP9_HUMAN	5-star
BCLX_HUMAN	P53_HUMAN	5-star
BCLX_HUMAN	APR_HUMAN	5-star
BCLX_HUMAN	BAK2_HUMAN	5-star
BCLX_HUMAN	BID_HUMAN	5-star
BCLX_HUMAN	BCL2_HUMAN	5-star
BCLX_HUMAN	BAK_HUMAN	5-star
BCLX_HUMAN	CFLAR_HUMAN	5-star
BCLX_HUMAN	RTN1_HUMAN	5-star
BCLX_HUMAN	CASP8_HUMAN	5-star
BCLX_HUMAN	BAG1_HUMAN	5-star
BCLX_HUMAN	PSN1_HUMAN	5-star
BCLX_HUMAN	PSN2_HUMAN	5-star
BCLX_HUMAN	RTN4_HUMAN	5-star
BCLX_HUMAN	B2L12_HUMAN	5-star
BCLX_HUMAN	CYC_HUMAN	5-star
BCLX_HUMAN	BNIP3_HUMAN	5-star
BCLX_HUMAN	AVEN_HUMAN	5-star
BCLX_HUMAN	BAP31_HUMAN	5-star
BCLX_HUMAN	PDCD8_HUMAN	5-star
BCLX_HUMAN	VDAC1_HUMAN	5-star
BCLX_HUMAN	BNI3L_HUMAN	5-star
BCLX_HUMAN	BI1_HUMAN	5-star
BCLX_HUMAN	MCL1_HUMAN	5-star
BCLX_HUMAN	B2L14_HUMAN	5-star
BCLX_HUMAN	IRS2_HUMAN	5-star
BCLX_HUMAN	AIOL_HUMAN	5-star
BCLX_HUMAN	ANTR1_HUMAN	5-star
BCLX_HUMAN	B2L10_HUMAN	5-star
BCLX_HUMAN	BCN1_HUMAN	5-star
BCLX_HUMAN	IRS1_HUMAN	5-star
BCLX_HUMAN	SIVA_HUMAN	5-star
BCLX_HUMAN	SYUA_HUMAN	5-star
BCLX_HUMAN	BAXB_HUMAN	5-star
BCLX_HUMAN	Q8WYM0_HUMAN	5-star
BCLX_HUMAN	BNIP1_HUMAN	5-star
BCLX_HUMAN	1433B_HUMAN	5-star
BCLX_HUMAN	CANB1_HUMAN	5-star
BCLX_HUMAN	PP2BC_HUMAN	5-star
BID_HUMAN	B2CL1_HUMAN	5-star
BID_HUMAN	B2CL2_HUMAN	5-star
BID_HUMAN	B2LA1_HUMAN	5-star
BID_HUMAN	BAK_HUMAN	5-star
BID_HUMAN	BAX_HUMAN	5-star
BID_HUMAN	BID_HUMAN	5-star
BID_HUMAN	BCL2_HUMAN	5-star
BID_HUMAN	RFA1_HUMAN	5-star
BID_HUMAN	BAK2_HUMAN	5-star
BID_HUMAN	BAXA_HUMAN	5-star
BID_HUMAN	BCLX_HUMAN	5-star
BID_HUMAN	CASP8_HUMAN	5-star
BID_HUMAN	CSK21_HUMAN	5-star
BID_HUMAN	BAD_HUMAN	5-star
BID_HUMAN	CAV1_HUMAN	5-star
BID_HUMAN	CSK22_HUMAN	5-star
BID_HUMAN	CSK2B_HUMAN	5-star
BID_HUMAN	KC1E_HUMAN	5-star
BID_HUMAN	GRAB_HUMAN	5-star
BID_HUMAN	CRNL1_HUMAN	5-star
BID_HUMAN	BFL1_HUMAN	5-star
BID_HUMAN	KC1A_HUMAN	5-star
BID_HUMAN	NMT1_HUMAN	5-star
BID_HUMAN	G3P_HUMAN	5-star
BID_HUMAN	PKHM1_HUMAN	5-star
BID_HUMAN	DPYL1_HUMAN	5-star
BID_HUMAN	ERG28_HUMAN	5-star
BID_HUMAN	FBN3_HUMAN	5-star
BID_HUMAN	GBP2_HUMAN	5-star
BID_HUMAN	RBM48_HUMAN	5-star
BID_HUMAN	SETB1_HUMAN	5-star
BID_HUMAN	TBB2B_HUMAN	5-star
BID_HUMAN	TLE1_HUMAN	5-star
BID_HUMAN	ZHX1_HUMAN	5-star
BID_HUMAN	CYC_HUMAN	5-star
BID_HUMAN	UBC_HUMAN	5-star
BID_HUMAN	ITCH_HUMAN	5-star
BID_HUMAN	RFA2_HUMAN	5-star
BID_HUMAN	TNFL6_HUMAN	5-star
BID_HUMAN	CASPA_HUMAN	5-star
BID_HUMAN	P53_HUMAN	5-star
BID_HUMAN	TNR1A_HUMAN	5-star
BID_HUMAN	ATR_HUMAN	5-star
BID_HUMAN	CATD_HUMAN	5-star
BID_HUMAN	CASP1_HUMAN	5-star
BID_HUMAN	CASP2_HUMAN	5-star
BID_HUMAN	CASP3_HUMAN	5-star
BID_HUMAN	MCL1_HUMAN	5-star
BID_HUMAN	SQSTM_HUMAN	5-star
BID_HUMAN	1433B_HUMAN	5-star
BID_HUMAN	BAG3_HUMAN	5-star
BID_HUMAN	TRADD_HUMAN	5-star
BID_HUMAN	RIPK1_HUMAN	5-star
BID_HUMAN	BCLW_HUMAN	5-star
BID_HUMAN	CRADD_HUMAN	5-star
BID_HUMAN	TNFA_HUMAN	5-star
BID_HUMAN	M3K5_HUMAN	5-star
BID_HUMAN	BBC3B_HUMAN	5-star
BID_HUMAN	BBC3_HUMAN	5-star
BID_HUMAN	MK08_HUMAN	5-star
BID_HUMAN	EZRI_HUMAN	5-star
BID_HUMAN	FADD_HUMAN	5-star
BID_HUMAN	GDIR1_HUMAN	5-star
BID_HUMAN	MOES_HUMAN	5-star
BID_HUMAN	RHOA_HUMAN	5-star
BID_HUMAN	ATM_HUMAN	5-star
CANB1_HUMAN	M3K5_HUMAN	5-star
CANB1_HUMAN	RPB9_HUMAN	5-star
CANB1_HUMAN	PP2BA_HUMAN	5-star
CANB1_HUMAN	CALM_HUMAN	5-star
CANB1_HUMAN	BAD_HUMAN	5-star
CANB1_HUMAN	PPIA_HUMAN	5-star
CANB1_HUMAN	CABP5_HUMAN	5-star
CANB1_HUMAN	CABP1_HUMAN	5-star
CANB1_HUMAN	PSA7_HUMAN	5-star
CANB1_HUMAN	FKB1A_HUMAN	5-star
CANB1_HUMAN	1433B_HUMAN	5-star
CANB1_HUMAN	CALL3_HUMAN	5-star
CANB1_HUMAN	PLCB4_HUMAN	5-star
CANB1_HUMAN	PP1G_HUMAN	5-star
CANB1_HUMAN	PDE4D_HUMAN	5-star
CANB1_HUMAN	PLCG1_HUMAN	5-star
CANB1_HUMAN	PLCG2_HUMAN	5-star
CANB1_HUMAN	UBC_HUMAN	5-star
CANB1_HUMAN	CABP2_HUMAN	5-star
CANB1_HUMAN	IQCB1_HUMAN	5-star
CANB1_HUMAN	PLCB1_HUMAN	5-star
CANB1_HUMAN	PLCB2_HUMAN	5-star
CANB1_HUMAN	PLCB3_HUMAN	5-star
CANB1_HUMAN	TRAF3_HUMAN	5-star
CANB1_HUMAN	NFAT5_HUMAN	5-star
CANB1_HUMAN	P2BA_HUMAN	5-star
CANB1_HUMAN	NFAC1_HUMAN	5-star
CANB1_HUMAN	NFAC2_HUMAN	5-star
CANB1_HUMAN	ANC2_HUMAN	5-star
CANB1_HUMAN	APC10_HUMAN	5-star
CANB1_HUMAN	APC11_HUMAN	5-star
CANB1_HUMAN	APC13_HUMAN	5-star
CANB1_HUMAN	APC1_HUMAN	5-star
CANB1_HUMAN	APC4_HUMAN	5-star
CANB1_HUMAN	APC5_HUMAN	5-star
CANB1_HUMAN	APC7_HUMAN	5-star
CANB1_HUMAN	CALL5_HUMAN	5-star
CANB1_HUMAN	CALL6_HUMAN	5-star
CANB1_HUMAN	CDC16_HUMAN	5-star
CANB1_HUMAN	CDC20_HUMAN	5-star
CANB1_HUMAN	CDC23_HUMAN	5-star
CANB1_HUMAN	CDC26_HUMAN	5-star
CANB1_HUMAN	CDC27_HUMAN	5-star
CANB1_HUMAN	PP1B_HUMAN	5-star
CANB1_HUMAN	PP1A_HUMAN	5-star
CANB1_HUMAN	PP2AB_HUMAN	5-star
CANB1_HUMAN	PP2AA_HUMAN	5-star
CANB1_HUMAN	PP2BC_HUMAN	5-star
CANB1_HUMAN	BCL2_HUMAN	5-star
CANB1_HUMAN	CYC_HUMAN	5-star
CANB1_HUMAN	PPR1B_HUMAN	5-star
CANB1_HUMAN	2AAA_HUMAN	5-star
CANB1_HUMAN	BCLX_HUMAN	5-star
CANB2_HUMAN	TB10C_HUMAN	5-star
CANB2_HUMAN	PLCG1_HUMAN	5-star
CANB2_HUMAN	PLCG2_HUMAN	5-star
CANB2_HUMAN	NFAC1_HUMAN	5-star
CANB2_HUMAN	PLCB1_HUMAN	5-star
CANB2_HUMAN	CALM_HUMAN	5-star
CANB2_HUMAN	CALL3_HUMAN	5-star
CANB2_HUMAN	PLCB2_HUMAN	5-star
CANB2_HUMAN	PLCB3_HUMAN	5-star
CANB2_HUMAN	PLCB4_HUMAN	5-star
CANB2_HUMAN	CDC23_HUMAN	5-star
CANB2_HUMAN	NFAC2_HUMAN	5-star
CANB2_HUMAN	NFAT5_HUMAN	5-star
CANB2_HUMAN	NFAC3_HUMAN	5-star
CANB2_HUMAN	NFAC4_HUMAN	5-star
CANB2_HUMAN	ANC2_HUMAN	5-star
CANB2_HUMAN	APC10_HUMAN	5-star
CANB2_HUMAN	APC11_HUMAN	5-star
CANB2_HUMAN	APC13_HUMAN	5-star
CANB2_HUMAN	APC1_HUMAN	5-star
CANB2_HUMAN	APC4_HUMAN	5-star
CANB2_HUMAN	APC5_HUMAN	5-star
CANB2_HUMAN	APC7_HUMAN	5-star
CANB2_HUMAN	BAD_HUMAN	5-star
CANB2_HUMAN	CALL5_HUMAN	5-star
CANB2_HUMAN	CALL6_HUMAN	5-star
CANB2_HUMAN	CDC16_HUMAN	5-star
CANB2_HUMAN	CDC20_HUMAN	5-star
CANB2_HUMAN	CDC26_HUMAN	5-star
CANB2_HUMAN	CDC27_HUMAN	5-star
CASP1_HUMAN	CASP1_HUMAN	5-star
CASP1_HUMAN	NLRC4_HUMAN	5-star
CASP1_HUMAN	NOD1_HUMAN	5-star
CASP1_HUMAN	PARP1_HUMAN	5-star
CASP1_HUMAN	CAR16_HUMAN	5-star
CASP1_HUMAN	CEBPB_HUMAN	5-star
CASP1_HUMAN	CAR12_HUMAN	5-star
CASP1_HUMAN	CARD4_HUMAN	5-star
CASP1_HUMAN	NOD2_HUMAN	5-star
CASP1_HUMAN	PAK1_HUMAN	5-star
CASP1_HUMAN	LMNA_HUMAN	5-star
CASP1_HUMAN	PSN2_HUMAN	5-star
