Node	Degree	R[0]	R[0] Rank	R[200]	Ranking	Network_Id
TP73	1.00	0.90	192	0.00205	175	2
RASSF1	1.00	0.90	185	0.00205	174	2
UACA	1.00	0.90	186	0.00276	90	10
ALS2	1.00	0.90	183	0.00247	109	6
OGG1	1.00	0.90	184	0.00394	54	31
APEX1	1.00	0.90	189	0.00394	57	31
APOA2	1.00	0.90	190	0.00394	58	32
PON1	1.00	0.90	187	0.00394	55	32
VEGFA	1.00	0.90	188	0.00394	56	33
FLT1	1.00	0.90	197	0.00394	61	33
SMN2	1.00	0.90	196	0.00306	83	17
SMN1	2.00	1.81	47	0.00569	23	17
DDX20	1.00	0.90	198	0.00306	84	17
MT-ND5	1.00	0.90	195	0.00394	60	34
MT-ND1	1.00	0.90	194	0.00394	59	34
