Node	Degree	R[0]	R[0] Rank	R[N]	R[N] Ranking	
GRK5	8.00	6.71	55	0.00167	199
BDKRB1	9.00	7.37	47	0.00199	139
CSTF3	5.00	4.13	118	0.00205	132
SSTR5	7.00	5.87	68	0.00172	182
KLF4	4.00	3.43	144	0.00162	215
SOD1	7.00	6.42	59	0.00304	39
LTA	3.00	2.71	172	0.00170	187
RBFOX1	1.00	0.97	282	0.00100	306
HTR2B	10.00	8.16	36	0.00206	126
OSM	3.00	2.81	164	0.00150	229
CDK5R1	2.00	1.66	251	0.00106	298
BCL2	14.00	13.16	11	0.00441	16
PAX2	2.00	1.63	260	0.00129	262
GDNF	3.00	2.62	182	0.00161	217
MARK2	2.00	1.80	225	0.00116	281
RPS19	2.00	1.76	237	0.00202	135
EIF3E	2.00	1.85	214	0.00205	130
SMAD3	6.00	5.52	73	0.00247	68
POMC	21.00	18.04	7	0.00733	6
NR0B1	2.00	1.77	231	0.00092	326
GPC1	6.00	5.20	85	0.00229	94
CACNB3	3.00	2.63	181	0.00175	179
CACNA1C	3.00	2.65	177	0.00175	178
GRIN2A	6.00	5.20	84	0.00221	107
SREBF2	5.00	4.30	109	0.00299	43
LSS	2.00	1.83	219	0.00147	234
ADRA1D	5.00	4.12	120	0.00119	271
KDR	8.00	7.40	46	0.00316	34
GNAL	3.00	2.43	196	0.00138	247
OR1D2	1.00	0.81	381	0.00074	363
HNRNPA2B1	5.00	4.20	114	0.00210	118
FUS	3.00	2.49	194	0.00143	242
DRD2	12.00	10.04	21	0.00275	52
ARHGDIB	2.00	1.91	206	0.00093	322
PPP3CB	6.00	5.04	89	0.00227	96
PPP2R4	2.00	1.63	259	0.00097	317
MAP3K5	7.00	6.63	56	0.00261	60
FGFR1	5.00	4.60	97	0.00232	86
NCAM1	6.00	5.35	77	0.00317	33
COL16A1	4.00	3.47	143	0.00172	184
TOP1	3.00	2.91	154	0.00137	253
CAT	5.00	4.32	107	0.00265	56
TFDP1	6.00	5.38	76	0.00303	40
RBL1	3.00	2.89	155	0.00162	216
SULT2B1	2.00	1.67	248	0.00114	284
IGFBP5	2.00	1.79	229	0.00157	220
VTN	6.00	5.29	79	0.00260	61
CD79A	4.00	3.58	135	0.00258	62
POLD4	4.00	3.71	128	0.00212	117
SUPT4H1	5.00	4.45	102	0.00238	78
CEL	3.00	2.64	179	0.00205	131
DGKG	2.00	1.62	263	0.00170	188
TIAM1	4.00	3.80	124	0.00154	223
COL9A2	4.00	3.30	150	0.00169	197
GPX1	7.00	6.19	62	0.00276	51
GSTP1	5.00	4.53	99	0.00210	120
EFNB3	3.00	2.54	189	0.00118	274
SF3B3	6.00	5.19	86	0.00246	70
UPF3A	2.00	1.82	222	0.00116	278
AKAP5	2.00	1.81	224	0.00152	225
PRKAR2A	2.00	1.89	208	0.00197	140
DHX38	5.00	4.40	103	0.00234	84
HSP90AA1	8.00	7.56	42	0.00299	42
CACNB4	5.00	4.29	110	0.00285	49
CDH1	9.00	8.03	39	0.00312	36
VCP	2.00	2.00	197	0.00169	193
GPR17	8.00	6.53	58	0.00186	157
AKAP13	1.00	0.89	319	0.00117	276
ITGA5	5.00	4.37	105	0.00196	141
CYP2C19	5.00	4.38	104	0.00228	95
GSTZ1	5.00	4.25	112	0.00206	129
E2F4	3.00	2.98	152	0.00163	212
PSMC5	3.00	2.77	167	0.00146	236
PRF1	3.00	2.59	184	0.00156	221
PDE4B	3.00	2.44	195	0.00235	83
AK4	1.00	0.82	377	0.00098	314
TSPO	1.00	0.86	344	0.00066	387
ALOX12	1.00	0.86	345	0.00074	361
TRIP13	1.00	0.88	322	0.00104	300
CASP1	2.00	1.83	217	0.00093	324
OAS2	1.00	0.81	382	0.00079	349
CYP11B2	3.00	2.69	176	0.00225	99
HSD11B1	1.00	0.87	332	0.00098	316
IFNA14	1.00	0.84	358	0.00071	371
NCL	3.00	2.76	168	0.00142	244
ERG	1.00	0.93	303	0.00068	382
FGFR3	3.00	2.75	170	0.00136	254
TGFB3	2.00	1.66	253	0.00104	301
PDE4C	2.00	1.63	261	0.00158	219
FGF4	3.00	2.82	162	0.00145	239
OPTN	1.00	0.99	269	0.00075	354
FAM175B	1.00	1.00	267	0.00089	331
DRD5	2.00	1.66	252	0.00106	296
GATA2	1.00	0.84	357	0.00081	342
EPO	3.00	2.58	185	0.00164	207
CSNK1G3	1.00	0.82	378	0.00069	376
AHR	3.00	2.95	153	0.00134	255
EXOC5	1.00	0.88	326	0.00065	390
SPTB	1.00	0.93	302	0.00082	339
SH3GL2	2.00	1.94	204	0.00137	252
CDK9	5.00	4.69	96	0.00218	108
ACE	1.00	0.86	347	0.00068	381
PNLIPRP1	2.00	1.77	232	0.00138	249
CDS1	1.00	0.81	388	0.00103	303
SERPINF2	2.00	1.79	227	0.00152	224
ELANE	1.00	0.96	290	0.00101	304
CCL23	1.00	0.97	283	0.00068	383
GUCY2C	5.00	4.15	115	0.00392	18
HAAO	1.00	0.81	391	0.00079	348
HLAC	1.00	0.86	346	0.00100	310
KIR2DL3	3.00	2.53	190	0.00234	85
ATM	4.00	3.56	137	0.00200	137
GNAQ	3.00	2.64	180	0.00090	330
STK36	1.00	0.96	288	0.00230	91
GLI1	1.00	0.96	287	0.00230	90
GRIN1	2.00	1.97	202	0.00100	305
GAST	9.00	7.53	43	0.00215	111
UBE3A	4.00	3.64	131	0.00191	151
UBQLN2	2.00	1.83	218	0.00127	264
IL9	1.00	0.86	340	0.00080	345
TF	3.00	2.50	192	0.00169	198
GFAP	2.00	1.67	247	0.00128	263
GH1	2.00	1.98	199	0.00221	106
GHR	2.00	1.84	216	0.00217	109
PPP3CC	3.00	2.50	193	0.00127	265
FDFT1	2.00	1.89	209	0.00149	232
PTHLH	1.00	0.86	334	0.00066	386
RAP1GAP	1.00	0.83	369	0.00069	375
MYLIP	1.00	0.88	324	0.00073	365
BMPR2	2.00	1.80	226	0.00116	280
PPYR1	5.00	4.08	122	0.00126	266
SMN2	3.00	2.83	161	0.00195	144
SNRPN	1.00	0.91	314	0.00091	329
GSR	4.00	3.50	141	0.00177	176
CD22	1.00	0.95	293	0.00092	327
INSR	2.00	1.73	241	0.00119	272
OSMR	2.00	1.94	205	0.00116	279
CHMP2B	1.00	0.83	361	0.00072	367
CSNK1E	3.00	2.70	173	0.00165	206
NPAS2	1.00	0.88	323	0.00082	338
DIO2	1.00	0.83	367	0.00169	195
DIO3	1.00	0.83	366	0.00169	194
DCTN1	2.00	1.69	245	0.00099	312
ERBB4	3.00	2.74	171	0.00141	245
PAPPA	2.00	1.88	210	0.00207	124
VIPR1	2.00	1.65	257	0.00106	297
KIR2DL1	1.00	0.86	343	0.00080	346
PLXNA3	4.00	3.40	146	0.00162	214
